size,order,algorithm,time
50,RANDOM,BubbleSortPassPerItem,14057
50,RANDOM,BubbleSortPassPerItem,13916
50,RANDOM,BubbleSortPassPerItem,13949
50,RANDOM,BubbleSortPassPerItem,14257
50,RANDOM,BubbleSortPassPerItem,32483
50,RANDOM,BubbleSortPassPerItem,14426
50,RANDOM,BubbleSortPassPerItem,14111
50,RANDOM,BubbleSortPassPerItem,14409
50,RANDOM,BubbleSortPassPerItem,13532
50,RANDOM,BubbleSortPassPerItem,14397
50,RANDOM,BubbleSortPassPerItem,14076
50,RANDOM,BubbleSortPassPerItem,14384
50,RANDOM,BubbleSortPassPerItem,14141
50,RANDOM,BubbleSortPassPerItem,14240
50,RANDOM,BubbleSortPassPerItem,14607
50,RANDOM,BubbleSortPassPerItem,14656
50,RANDOM,BubbleSortPassPerItem,13587
50,RANDOM,BubbleSortPassPerItem,14061
50,RANDOM,BubbleSortPassPerItem,14975
50,RANDOM,BubbleSortPassPerItem,14431
50,RANDOM,BubbleSortPassPerItem,14447
50,RANDOM,BubbleSortPassPerItem,13719
50,RANDOM,BubbleSortPassPerItem,13984
50,RANDOM,BubbleSortPassPerItem,14480
50,RANDOM,BubbleSortPassPerItem,13591
50,RANDOM,BubbleSortPassPerItem,13816
50,RANDOM,BubbleSortPassPerItem,13510
50,RANDOM,BubbleSortPassPerItem,14044
50,RANDOM,BubbleSortPassPerItem,13911
50,RANDOM,BubbleSortPassPerItem,13755
50,RANDOM,BubbleSortPassPerItem,14138
50,RANDOM,BubbleSortPassPerItem,13344
50,RANDOM,BubbleSortPassPerItem,13921
50,RANDOM,BubbleSortPassPerItem,13505
50,RANDOM,BubbleSortPassPerItem,13849
50,RANDOM,BubbleSortPassPerItem,13930
50,RANDOM,BubbleSortPassPerItem,13852
50,RANDOM,BubbleSortPassPerItem,14044
50,RANDOM,BubbleSortPassPerItem,13149
50,RANDOM,BubbleSortPassPerItem,13330
50,RANDOM,BubbleSortPassPerItem,12772
50,RANDOM,BubbleSortPassPerItem,13132
50,RANDOM,BubbleSortPassPerItem,14413
50,RANDOM,BubbleSortPassPerItem,13500
50,RANDOM,BubbleSortPassPerItem,14836
50,RANDOM,BubbleSortPassPerItem,13468
50,RANDOM,BubbleSortPassPerItem,13441
50,RANDOM,BubbleSortPassPerItem,13876
50,RANDOM,BubbleSortPassPerItem,13781
50,RANDOM,BubbleSortPassPerItem,13578
50,RANDOM,BubbleSortPassPerItem,14018
50,RANDOM,BubbleSortPassPerItem,13951
50,RANDOM,BubbleSortPassPerItem,13803
50,RANDOM,BubbleSortPassPerItem,13597
50,RANDOM,BubbleSortPassPerItem,14391
50,RANDOM,BubbleSortPassPerItem,14305
50,RANDOM,BubbleSortPassPerItem,13412
50,RANDOM,BubbleSortPassPerItem,13586
50,RANDOM,BubbleSortPassPerItem,13669
50,RANDOM,BubbleSortPassPerItem,12935
50,RANDOM,BubbleSortPassPerItem,13797
50,RANDOM,BubbleSortPassPerItem,13602
50,RANDOM,BubbleSortPassPerItem,13396
50,RANDOM,BubbleSortPassPerItem,13955
50,RANDOM,BubbleSortPassPerItem,14253
50,RANDOM,BubbleSortPassPerItem,14059
50,RANDOM,BubbleSortPassPerItem,13504
50,RANDOM,BubbleSortPassPerItem,14227
50,RANDOM,BubbleSortPassPerItem,13563
50,RANDOM,BubbleSortPassPerItem,13343
50,RANDOM,BubbleSortPassPerItem,14094
50,RANDOM,BubbleSortPassPerItem,13547
50,RANDOM,BubbleSortPassPerItem,12918
50,RANDOM,BubbleSortPassPerItem,14199
50,RANDOM,BubbleSortPassPerItem,13565
50,RANDOM,BubbleSortPassPerItem,13221
50,RANDOM,BubbleSortPassPerItem,13319
50,RANDOM,BubbleSortPassPerItem,13610
50,RANDOM,BubbleSortPassPerItem,13947
50,RANDOM,BubbleSortPassPerItem,13712
50,RANDOM,BubbleSortPassPerItem,14107
50,RANDOM,BubbleSortPassPerItem,13766
50,RANDOM,BubbleSortPassPerItem,13154
50,RANDOM,BubbleSortPassPerItem,13335
50,RANDOM,BubbleSortPassPerItem,13355
50,RANDOM,BubbleSortPassPerItem,13552
50,RANDOM,BubbleSortPassPerItem,13741
50,RANDOM,BubbleSortPassPerItem,14106
50,RANDOM,BubbleSortPassPerItem,13908
50,RANDOM,BubbleSortPassPerItem,13749
