size,order,algorithm,time
50,RANDOM,BubbleSortPassPerItem,28167
50,RANDOM,BubbleSortPassPerItem,29492
50,RANDOM,BubbleSortPassPerItem,29449
50,RANDOM,BubbleSortPassPerItem,28405
50,RANDOM,BubbleSortPassPerItem,29405
50,RANDOM,BubbleSortPassPerItem,28000
50,RANDOM,BubbleSortPassPerItem,28114
50,RANDOM,BubbleSortPassPerItem,28550
50,RANDOM,BubbleSortPassPerItem,28420
50,RANDOM,BubbleSortPassPerItem,28168
50,RANDOM,BubbleSortPassPerItem,29439
50,RANDOM,BubbleSortPassPerItem,28054
50,RANDOM,BubbleSortPassPerItem,27780
50,RANDOM,BubbleSortPassPerItem,28621
50,RANDOM,BubbleSortPassPerItem,29351
50,RANDOM,BubbleSortPassPerItem,28211
50,RANDOM,BubbleSortPassPerItem,27699
50,RANDOM,BubbleSortPassPerItem,28729
50,RANDOM,BubbleSortPassPerItem,28843
50,RANDOM,BubbleSortPassPerItem,28387
50,RANDOM,BubbleSortPassPerItem,29062
50,RANDOM,BubbleSortPassPerItem,28660
50,RANDOM,BubbleSortPassPerItem,28547
50,RANDOM,BubbleSortPassPerItem,28345
50,RANDOM,BubbleSortPassPerItem,29136
50,RANDOM,BubbleSortPassPerItem,29029
50,RANDOM,BubbleSortPassPerItem,28151
50,RANDOM,BubbleSortPassPerItem,28013
50,RANDOM,BubbleSortPassPerItem,28613
50,RANDOM,BubbleSortPassPerItem,28645
50,RANDOM,BubbleSortPassPerItem,28979
50,RANDOM,BubbleSortPassPerItem,28659
50,RANDOM,BubbleSortPassPerItem,27874
50,RANDOM,BubbleSortPassPerItem,28904
50,RANDOM,BubbleSortPassPerItem,28176
50,RANDOM,BubbleSortPassPerItem,27584
50,RANDOM,BubbleSortPassPerItem,26746
50,RANDOM,BubbleSortPassPerItem,28646
50,RANDOM,BubbleSortPassPerItem,29400
50,RANDOM,BubbleSortPassPerItem,28023
50,RANDOM,BubbleSortPassPerItem,28674
50,RANDOM,BubbleSortPassPerItem,27855
50,RANDOM,BubbleSortPassPerItem,28926
50,RANDOM,BubbleSortPassPerItem,28088
50,RANDOM,BubbleSortPassPerItem,28555
50,RANDOM,BubbleSortPassPerItem,28838
50,RANDOM,BubbleSortPassPerItem,27998
50,RANDOM,BubbleSortPassPerItem,28414
50,RANDOM,BubbleSortPassPerItem,28127
50,RANDOM,BubbleSortPassPerItem,28133
50,RANDOM,BubbleSortPassPerItem,29231
50,RANDOM,BubbleSortPassPerItem,27949
50,RANDOM,BubbleSortPassPerItem,28522
50,RANDOM,BubbleSortPassPerItem,27838
50,RANDOM,BubbleSortPassPerItem,28740
50,RANDOM,BubbleSortPassPerItem,28495
50,RANDOM,BubbleSortPassPerItem,29006
50,RANDOM,BubbleSortPassPerItem,29256
50,RANDOM,BubbleSortPassPerItem,27878
50,RANDOM,BubbleSortPassPerItem,28660
50,RANDOM,BubbleSortPassPerItem,27914
50,RANDOM,BubbleSortPassPerItem,28679
50,RANDOM,BubbleSortPassPerItem,28312
50,RANDOM,BubbleSortPassPerItem,28430
50,RANDOM,BubbleSortPassPerItem,29027
50,RANDOM,BubbleSortPassPerItem,28078
50,RANDOM,BubbleSortPassPerItem,28223
50,RANDOM,BubbleSortPassPerItem,28598
50,RANDOM,BubbleSortPassPerItem,28730
50,RANDOM,BubbleSortPassPerItem,29115
50,RANDOM,BubbleSortPassPerItem,29101
50,RANDOM,BubbleSortPassPerItem,29152
50,RANDOM,BubbleSortPassPerItem,29067
50,RANDOM,BubbleSortPassPerItem,29057
50,RANDOM,BubbleSortPassPerItem,28317
50,RANDOM,BubbleSortPassPerItem,28780
50,RANDOM,BubbleSortPassPerItem,27871
50,RANDOM,BubbleSortPassPerItem,28692
50,RANDOM,BubbleSortPassPerItem,29495
50,RANDOM,BubbleSortPassPerItem,28385
50,RANDOM,BubbleSortPassPerItem,27772
50,RANDOM,BubbleSortPassPerItem,28835
50,RANDOM,BubbleSortPassPerItem,28134
50,RANDOM,BubbleSortPassPerItem,27667
50,RANDOM,BubbleSortPassPerItem,27353
50,RANDOM,BubbleSortPassPerItem,27611
50,RANDOM,BubbleSortPassPerItem,28559
50,RANDOM,BubbleSortPassPerItem,27652
50,RANDOM,BubbleSortPassPerItem,29070
50,RANDOM,BubbleSortPassPerItem,34288
50,RANDOM,BubbleSortPassPerItem,28002
50,RANDOM,BubbleSortPassPerItem,28035
50,RANDOM,BubbleSortPassPerItem,28102
50,RANDOM,BubbleSortPassPerItem,28726
50,RANDOM,BubbleSortPassPerItem,27622
50,RANDOM,BubbleSortPassPerItem,28309
50,RANDOM,BubbleSortPassPerItem,29021
50,RANDOM,BubbleSortPassPerItem,28566
50,RANDOM,BubbleSortPassPerItem,28461
50,RANDOM,BubbleSortPassPerItem,28061
50,RANDOM,BubbleSortPassPerItem,28609
50,RANDOM,BubbleSortPassPerItem,28303
50,RANDOM,BubbleSortPassPerItem,28150
50,RANDOM,BubbleSortPassPerItem,28474
50,RANDOM,BubbleSortPassPerItem,27323
50,RANDOM,BubbleSortPassPerItem,28161
50,RANDOM,BubbleSortPassPerItem,28469
50,RANDOM,BubbleSortPassPerItem,27730
50,RANDOM,BubbleSortPassPerItem,27977
50,RANDOM,BubbleSortPassPerItem,27924
50,RANDOM,BubbleSortPassPerItem,29437
50,RANDOM,BubbleSortPassPerItem,29050
50,RANDOM,BubbleSortPassPerItem,28598
50,RANDOM,BubbleSortPassPerItem,28872
50,RANDOM,BubbleSortPassPerItem,28583
50,RANDOM,BubbleSortPassPerItem,28019
50,RANDOM,BubbleSortPassPerItem,28096
50,RANDOM,BubbleSortPassPerItem,28323
50,RANDOM,BubbleSortPassPerItem,28553
50,RANDOM,BubbleSortPassPerItem,28504
50,RANDOM,BubbleSortPassPerItem,28587
50,RANDOM,BubbleSortPassPerItem,29071
50,RANDOM,BubbleSortPassPerItem,28313
50,RANDOM,BubbleSortPassPerItem,27805
50,RANDOM,BubbleSortPassPerItem,28787
50,RANDOM,BubbleSortPassPerItem,28522
50,RANDOM,BubbleSortPassPerItem,28846
50,RANDOM,BubbleSortPassPerItem,28081
50,RANDOM,BubbleSortPassPerItem,28572
50,RANDOM,BubbleSortPassPerItem,28815
50,RANDOM,BubbleSortPassPerItem,28980
50,RANDOM,BubbleSortPassPerItem,28709
50,RANDOM,BubbleSortPassPerItem,28326
50,RANDOM,BubbleSortPassPerItem,27281
50,RANDOM,BubbleSortPassPerItem,29165
50,RANDOM,BubbleSortPassPerItem,28991
50,RANDOM,BubbleSortPassPerItem,28744
50,RANDOM,BubbleSortPassPerItem,28653
50,RANDOM,BubbleSortPassPerItem,28848
50,RANDOM,BubbleSortPassPerItem,28348
50,RANDOM,BubbleSortPassPerItem,28462
50,RANDOM,BubbleSortPassPerItem,29216
50,RANDOM,BubbleSortPassPerItem,28921
50,RANDOM,BubbleSortPassPerItem,28265
50,RANDOM,BubbleSortPassPerItem,28227
50,RANDOM,BubbleSortPassPerItem,28744
50,RANDOM,BubbleSortPassPerItem,27890
50,RANDOM,BubbleSortPassPerItem,29454
50,RANDOM,BubbleSortPassPerItem,29300
50,RANDOM,BubbleSortPassPerItem,29122
50,RANDOM,BubbleSortPassPerItem,28290
50,RANDOM,BubbleSortPassPerItem,28759
50,RANDOM,BubbleSortPassPerItem,29167
50,RANDOM,BubbleSortPassPerItem,28737
50,RANDOM,BubbleSortPassPerItem,28455
50,RANDOM,BubbleSortPassPerItem,27791
50,RANDOM,BubbleSortPassPerItem,28120
50,RANDOM,BubbleSortPassPerItem,28531
50,RANDOM,BubbleSortPassPerItem,27964
50,RANDOM,BubbleSortPassPerItem,28470
50,RANDOM,BubbleSortPassPerItem,28439
50,RANDOM,BubbleSortPassPerItem,28860
50,RANDOM,BubbleSortPassPerItem,28161
50,RANDOM,BubbleSortPassPerItem,28555
50,RANDOM,BubbleSortPassPerItem,28456
50,RANDOM,BubbleSortPassPerItem,27769
50,RANDOM,BubbleSortPassPerItem,28529
50,RANDOM,BubbleSortPassPerItem,28628
50,RANDOM,BubbleSortPassPerItem,28542
50,RANDOM,BubbleSortPassPerItem,28902
50,RANDOM,BubbleSortPassPerItem,29232
50,RANDOM,BubbleSortPassPerItem,27513
50,RANDOM,BubbleSortPassPerItem,28480
50,RANDOM,BubbleSortPassPerItem,28806
50,RANDOM,BubbleSortPassPerItem,28483
50,RANDOM,BubbleSortPassPerItem,28926
50,RANDOM,BubbleSortPassPerItem,28771
50,RANDOM,BubbleSortPassPerItem,29571
50,RANDOM,BubbleSortPassPerItem,28785
50,RANDOM,BubbleSortPassPerItem,28332
50,RANDOM,BubbleSortPassPerItem,28462
50,RANDOM,BubbleSortPassPerItem,29447
50,RANDOM,BubbleSortPassPerItem,28993
50,RANDOM,BubbleSortPassPerItem,27625
50,RANDOM,BubbleSortPassPerItem,28135
50,RANDOM,BubbleSortPassPerItem,28268
50,RANDOM,BubbleSortPassPerItem,28841
50,RANDOM,BubbleSortPassPerItem,28828
50,RANDOM,BubbleSortPassPerItem,28001
50,RANDOM,BubbleSortPassPerItem,28238
50,RANDOM,BubbleSortPassPerItem,27752
50,RANDOM,BubbleSortPassPerItem,29166
50,RANDOM,BubbleSortPassPerItem,29012
50,RANDOM,BubbleSortPassPerItem,27940
50,RANDOM,BubbleSortPassPerItem,28494
50,RANDOM,BubbleSortPassPerItem,27629
50,RANDOM,BubbleSortPassPerItem,29037
50,RANDOM,BubbleSortPassPerItem,29058
50,RANDOM,BubbleSortPassPerItem,807045
50,RANDOM,BubbleSortPassPerItem,29402
50,RANDOM,BubbleSortPassPerItem,27265
50,RANDOM,BubbleSortPassPerItem,28512
50,RANDOM,BubbleSortPassPerItem,27675
50,RANDOM,BubbleSortPassPerItem,28694
50,RANDOM,BubbleSortPassPerItem,27946
50,RANDOM,BubbleSortPassPerItem,29464
50,RANDOM,BubbleSortPassPerItem,28600
50,RANDOM,BubbleSortPassPerItem,28274
50,RANDOM,BubbleSortPassPerItem,28511
50,RANDOM,BubbleSortPassPerItem,28246
50,RANDOM,BubbleSortPassPerItem,28856
50,RANDOM,BubbleSortPassPerItem,29079
50,RANDOM,BubbleSortPassPerItem,28423
50,RANDOM,BubbleSortPassPerItem,27890
50,RANDOM,BubbleSortPassPerItem,27939
50,RANDOM,BubbleSortPassPerItem,27739
50,RANDOM,BubbleSortPassPerItem,28081
50,RANDOM,BubbleSortPassPerItem,28842
50,RANDOM,BubbleSortPassPerItem,28753
50,RANDOM,BubbleSortPassPerItem,28629
50,RANDOM,BubbleSortPassPerItem,29516
50,RANDOM,BubbleSortPassPerItem,28352
50,RANDOM,BubbleSortPassPerItem,28680
50,RANDOM,BubbleSortPassPerItem,28586
50,RANDOM,BubbleSortPassPerItem,29264
50,RANDOM,BubbleSortPassPerItem,29379
50,RANDOM,BubbleSortPassPerItem,27878
50,RANDOM,BubbleSortPassPerItem,28247
50,RANDOM,BubbleSortPassPerItem,28564
50,RANDOM,BubbleSortPassPerItem,28327
50,RANDOM,BubbleSortPassPerItem,28472
50,RANDOM,BubbleSortPassPerItem,28463
50,RANDOM,BubbleSortPassPerItem,27530
50,RANDOM,BubbleSortPassPerItem,28943
50,RANDOM,BubbleSortPassPerItem,28584
50,RANDOM,BubbleSortPassPerItem,28917
50,RANDOM,BubbleSortPassPerItem,28116
50,RANDOM,BubbleSortPassPerItem,29143
50,RANDOM,BubbleSortPassPerItem,28316
50,RANDOM,BubbleSortPassPerItem,28073
50,RANDOM,BubbleSortPassPerItem,29379
50,RANDOM,BubbleSortPassPerItem,28596
50,RANDOM,BubbleSortPassPerItem,29391
50,RANDOM,BubbleSortPassPerItem,28048
50,RANDOM,BubbleSortPassPerItem,28675
50,RANDOM,BubbleSortPassPerItem,28596
50,RANDOM,BubbleSortPassPerItem,28692
50,RANDOM,BubbleSortPassPerItem,28347
50,RANDOM,BubbleSortPassPerItem,27507
50,RANDOM,BubbleSortPassPerItem,28427
50,RANDOM,BubbleSortPassPerItem,28584
50,RANDOM,BubbleSortPassPerItem,28486
50,RANDOM,BubbleSortPassPerItem,28313
50,RANDOM,BubbleSortPassPerItem,28717
50,RANDOM,BubbleSortPassPerItem,28019
50,RANDOM,BubbleSortPassPerItem,28922
50,RANDOM,BubbleSortPassPerItem,29104
50,RANDOM,BubbleSortPassPerItem,28978
50,RANDOM,BubbleSortPassPerItem,28223
50,RANDOM,BubbleSortPassPerItem,28801
50,RANDOM,BubbleSortPassPerItem,28396
50,RANDOM,BubbleSortPassPerItem,28477
50,RANDOM,BubbleSortPassPerItem,28469
50,RANDOM,BubbleSortPassPerItem,28765
50,RANDOM,BubbleSortPassPerItem,28694
50,RANDOM,BubbleSortPassPerItem,28063
50,RANDOM,BubbleSortPassPerItem,27129
50,RANDOM,BubbleSortPassPerItem,29056
50,RANDOM,BubbleSortPassPerItem,27826
50,RANDOM,BubbleSortPassPerItem,28956
50,RANDOM,BubbleSortPassPerItem,28587
50,RANDOM,BubbleSortPassPerItem,27686
50,RANDOM,BubbleSortPassPerItem,28179
50,RANDOM,BubbleSortPassPerItem,28885
50,RANDOM,BubbleSortPassPerItem,28295
50,RANDOM,BubbleSortPassPerItem,28994
50,RANDOM,BubbleSortPassPerItem,28695
50,RANDOM,BubbleSortPassPerItem,27302
50,RANDOM,BubbleSortPassPerItem,29147
50,RANDOM,BubbleSortPassPerItem,28131
50,RANDOM,BubbleSortPassPerItem,29937
50,RANDOM,BubbleSortPassPerItem,28657
50,RANDOM,BubbleSortPassPerItem,29313
50,RANDOM,BubbleSortPassPerItem,28398
50,RANDOM,BubbleSortPassPerItem,28246
50,RANDOM,BubbleSortPassPerItem,27950
50,RANDOM,BubbleSortPassPerItem,28867
50,RANDOM,BubbleSortPassPerItem,34012
50,RANDOM,BubbleSortPassPerItem,29306
50,RANDOM,BubbleSortPassPerItem,28138
50,RANDOM,BubbleSortPassPerItem,28251
50,RANDOM,BubbleSortPassPerItem,27902
50,RANDOM,BubbleSortPassPerItem,27537
50,RANDOM,BubbleSortPassPerItem,28780
50,RANDOM,BubbleSortPassPerItem,28914
50,RANDOM,BubbleSortPassPerItem,29206
50,RANDOM,BubbleSortPassPerItem,27639
50,RANDOM,BubbleSortPassPerItem,28798
50,RANDOM,BubbleSortPassPerItem,28464
50,RANDOM,BubbleSortPassPerItem,29223
50,RANDOM,BubbleSortPassPerItem,29191
50,RANDOM,BubbleSortPassPerItem,28821
50,RANDOM,BubbleSortPassPerItem,28886
50,RANDOM,BubbleSortPassPerItem,28868
50,RANDOM,BubbleSortPassPerItem,28278
50,RANDOM,BubbleSortPassPerItem,28648
50,RANDOM,BubbleSortPassPerItem,28859
50,RANDOM,BubbleSortPassPerItem,27288
50,RANDOM,BubbleSortPassPerItem,28208
50,RANDOM,BubbleSortPassPerItem,29385
50,RANDOM,BubbleSortPassPerItem,29342
50,RANDOM,BubbleSortPassPerItem,28951
50,RANDOM,BubbleSortPassPerItem,28095
50,RANDOM,BubbleSortPassPerItem,28244
50,RANDOM,BubbleSortPassPerItem,28128
50,RANDOM,BubbleSortPassPerItem,27939
50,RANDOM,BubbleSortPassPerItem,28280
50,RANDOM,BubbleSortPassPerItem,28289
50,RANDOM,BubbleSortPassPerItem,28826
50,RANDOM,BubbleSortPassPerItem,28532
50,RANDOM,BubbleSortPassPerItem,29006
50,RANDOM,BubbleSortPassPerItem,28091
50,RANDOM,BubbleSortPassPerItem,28605
50,RANDOM,BubbleSortPassPerItem,27693
50,RANDOM,BubbleSortPassPerItem,29476
50,RANDOM,BubbleSortPassPerItem,28380
50,RANDOM,BubbleSortPassPerItem,29213
50,RANDOM,BubbleSortPassPerItem,27941
50,RANDOM,BubbleSortPassPerItem,28835
50,RANDOM,BubbleSortPassPerItem,28510
50,RANDOM,BubbleSortPassPerItem,28034
50,RANDOM,BubbleSortPassPerItem,28661
50,RANDOM,BubbleSortPassPerItem,28222
50,RANDOM,BubbleSortPassPerItem,28184
50,RANDOM,BubbleSortPassPerItem,29568
50,RANDOM,BubbleSortPassPerItem,29079
50,RANDOM,BubbleSortPassPerItem,27876
50,RANDOM,BubbleSortPassPerItem,28442
50,RANDOM,BubbleSortPassPerItem,28545
50,RANDOM,BubbleSortPassPerItem,28245
50,RANDOM,BubbleSortPassPerItem,29543
50,RANDOM,BubbleSortPassPerItem,29178
50,RANDOM,BubbleSortPassPerItem,28497
50,RANDOM,BubbleSortPassPerItem,29444
50,RANDOM,BubbleSortPassPerItem,28532
50,RANDOM,BubbleSortPassPerItem,27628
50,RANDOM,BubbleSortPassPerItem,28351
50,RANDOM,BubbleSortPassPerItem,28395
50,RANDOM,BubbleSortPassPerItem,29081
50,RANDOM,BubbleSortPassPerItem,28913
